"","x"
"Gender",1.01082050845851
"Customer_Type",1.57272377139618
"Age",1.16143950997246
"Type_of_Travel",2.06971555248912
"Class",1.96935124928706
"Flight_Distance",1.3427323632122
"Inflight_wifi_service",2.44277806279927
"Departure_Arrival_time_convenient",1.66880234586086
"Ease_of_Online_booking",2.69873072491939
"Gate_location",1.50749049137414
"Food_and_drink",2.17513233394341
"Online_boarding",1.99604236357284
"Seat_comfort",2.39589386487108
"Inflight_entertainment",3.89953027915315
"On_board_service",1.77154108555512
"Leg_room_service",1.31718660847598
"Baggage_handling",1.91099386131785
"Checkin_service",1.2254672260898
"Inflight_service",2.08288889232644
"Cleanliness",2.869857728969
"Departure_Delay_in_Minutes",14.6698042973081
"Arrival_Delay_in_Minutes",14.6832690866101
